Rack ID,Sample Number,Batch Number,Number Destinations,Total Samples In Batch
025DNA0002426,3,31,1,95
025DNA0002384,4,31,1,95
025DNA0002398,4,31,1,95
025DNA0002153,5,31,1,95
025DNA0002414,6,31,1,95
025DNA0000812,7,31,1,95
025DNA0000736,8,31,1,95
025DNA0000803,9,31,1,95
025DNA0002378,10,31,1,95
025DNA0000593,11,31,1,95
025DNA0002764,12,31,1,95

025DNA0002609,1,32,1,94
025DNA0002611,1,32,1,94
025DNA0002390,2,32,1,94
025DNA0002397,2,32,1,94
025DNA0002410,2,32,1,94
025DNA0002412,2,32,1,94
025DNA0002432,3,32,1,94
025DNA0002435,3,32,1,94
025DNA0002473,3,32,1,94
025DNA0002401,4,32,1,94
025DNA0002416,4,32,1,94
025DNA0002332,5,32,1,94
025DNA0002424,6,32,1,94
025DNA0002005,7,32,1,94
025DNA0000745,8,32,1,94
025DNA0002065,9,32,1,94
025DNA0002567,10,32,1,94
025DNA0000713,11,32,1,94
025DNA0000714,11,32,1,94

025DNA0002614,1,33,1,94
025DNA0002616,1,33,1,94
025DNA0002421,2,33,1,94
025DNA0002427,2,33,1,94
025DNA0002430,2,33,1,94
025DNA0002438,2,33,1,94
025DNA0002490,3,33,1,94
025DNA0002493,3,33,1,94
025DNA0002498,3,33,1,94
025DNA0002419,4,33,1,94
025DNA0002429,4,33,1,94
025DNA0002363,5,33,1,94
025DNA0002442,6,33,1,94
025DNA0002008,7,33,1,94
025DNA0000774,8,33,1,94
025DNA0002067,9,33,1,94
025DNA0002679,10,33,1,94
025DNA0002152,11,33,1,94
025DNA0002428,11,33,1,94

025DNA0002623,1,34,1,90
025DNA0002624,1,34,1,90
025DNA0002468,2,34,1,90
025DNA0002475,2,34,1,90
025DNA0002477,2,34,1,90
025DNA0002481,2,34,1,90
025DNA0002501,3,34,1,90
025DNA0002502,3,34,1,90
025DNA0002503,3,34,1,90
025DNA0002469,4,34,1,90
025DNA0002488,4,34,1,90
025DNA0002366,5,34,1,90
025DNA0002443,6,34,1,90
025DNA0002374,7,34,1,90
025DNA0000817,8,34,1,90
025DNA0000834,8,34,1,90
025DNA0002090,9,34,1,90
025DNA0002094,9,34,1,90
025DNA0002499,11,34,1,90

025DNA0002625,1,35,1,73
025DNA0002632,1,35,1,73
025DNA0002636,1,35,1,73
025DNA0002638,1,35,1,73
025DNA0002491,2,35,1,73
025DNA0002509,2,35,1,73
025DNA0002512,2,35,1,73
025DNA0002530,2,35,1,73
025DNA0002504,3,35,1,73
025DNA0002513,3,35,1,73
025DNA0002527,3,35,1,73
025DNA0002489,4,35,1,73
025DNA0002531,4,35,1,73
025DNA0002381,5,35,1,73
025DNA0002447,6,35,1,73
025DNA0002394,7,35,1,73
025DNA0001063,8,35,1,73
025DNA0002376,9,35,1,73
025DNA0002544,9,35,1,73

025DNA0002640,1,36,1,77
025DNA0002642,1,36,1,77
025DNA0002643,1,36,1,77
025DNA0002535,2,36,1,77
025DNA0002538,2,36,1,77
025DNA0002543,2,36,1,77
